Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;
mmClasicaOpenMP;5;8;19;816;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;20;292;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;21;232;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;22;385;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;23;228;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;24;332;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;25;321;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;26;275;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;27;322;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;28;861;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;29;626;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;30;382;;;;;;;;;;;;;
